particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
p,4,37,1.0000,1.3755,1,1.750,5.250
pip,1,4,1.5836,1.1606,1,1.750,5.250
pip,2,4,0.3860,0.2620,1,1.750,5.250
pip,3,4,0.3667,0.1840,1,1.750,5.250
pip,4,4,0.4164,0.2329,1,1.750,5.250
pip,6,4,0.3333,0.2232,1,1.750,5.250
pip,1,5,1.0703,0.3107,1,1.750,5.250
pip,2,5,0.3062,0.1301,0,1.750,5.250
pip,3,5,0.6370,0.1492,1,1.750,5.250
pip,4,5,0.9297,0.2102,1,1.750,5.250
pip,5,5,0.1322,0.0898,0,1.750,5.250
pip,6,5,0.6864,0.1875,1,1.750,5.250
pip,1,6,0.6666,0.0848,1,1.750,5.250
pip,2,6,0.4247,0.0635,1,1.750,5.250
pip,3,6,0.7045,0.0784,1,1.750,5.250
pip,4,6,0.8503,0.0881,1,1.750,5.250
pip,5,6,1.1497,0.1283,1,1.750,5.250
pip,6,6,0.5218,0.0693,1,1.750,5.250
pip,1,7,0.7665,0.0524,1,1.750,5.250
pip,2,7,0.4844,0.0407,1,1.750,5.250
pip,3,7,0.7501,0.0489,1,1.750,5.250
pip,4,7,1.0506,0.0595,1,1.750,5.250
pip,5,7,0.9494,0.0665,1,1.750,5.250
pip,6,7,0.8050,0.0526,1,1.750,5.250
pip,1,8,0.8832,0.0413,1,1.750,5.250
pip,2,8,0.2233,0.0203,1,1.750,5.250
pip,3,8,0.6280,0.0332,1,1.750,5.250
pip,4,8,1.1168,0.0456,1,1.750,5.250
pip,5,8,0.4092,0.0297,1,1.750,5.250
pip,6,8,0.4167,0.0276,1,1.750,5.250
pip,1,9,1.0635,0.0398,1,1.750,5.250
pip,2,9,0.6493,0.0305,1,1.750,5.250
pip,3,9,0.6858,0.0308,1,1.750,5.250
pip,4,9,0.4432,0.0249,1,1.750,5.250
pip,5,9,0.9365,0.0391,1,1.750,5.250
pip,6,9,0.7395,0.0329,1,1.750,5.250
pip,1,10,1.0502,0.0305,1,1.750,5.250
pip,2,10,0.6291,0.0228,1,1.750,5.250
pip,3,10,0.4953,0.0202,1,1.750,5.250
pip,4,10,0.9498,0.0279,1,1.750,5.250
pip,5,10,0.5523,0.0224,1,1.750,5.250
pip,6,10,0.6522,0.0233,1,1.750,5.250
pip,1,11,1.0696,0.0265,1,1.750,5.250
pip,2,11,0.9137,0.0240,1,1.750,5.250
pip,3,11,0.8757,0.0276,0,1.750,5.250
pip,4,11,0.7912,0.0220,1,1.750,5.250
pip,5,11,0.7001,0.0215,1,1.750,5.250
pip,6,11,0.9304,0.0241,1,1.750,5.250
pip,1,12,1.1460,0.0241,1,1.750,5.250
pip,2,12,0.9661,0.0221,0,1.750,5.250
pip,3,12,0.8540,0.0201,1,1.750,5.250
pip,4,12,0.5471,0.0161,1,1.750,5.250
pip,5,12,0.4191,0.0143,1,1.750,5.250
pip,6,12,0.8231,0.0203,1,1.750,5.250
pip,1,13,0.3778,0.0113,1,1.750,5.250
pip,2,13,0.1037,0.0059,1,1.750,5.250
pip,3,13,0.8864,0.0174,1,1.750,5.250
pip,4,13,1.0805,0.0191,1,1.750,5.250
pip,5,13,0.0576,0.0044,1,1.750,5.250
pip,6,13,0.9195,0.0180,1,1.750,5.250
pip,1,14,0.6257,0.0146,1,1.750,5.250
pip,2,14,0.8690,0.0174,1,1.750,5.250
pip,3,14,0.8277,0.0167,1,1.750,5.250
pip,4,14,1.1310,0.0194,1,1.750,5.250
pip,5,14,0.3176,0.0102,1,1.750,5.250
pip,6,14,0.8429,0.0171,1,1.750,5.250
pip,1,15,0.9566,0.0172,1,1.750,5.250
pip,2,15,0.8980,0.0168,1,1.750,5.250
pip,3,15,0.9334,0.0169,1,1.750,5.250
pip,4,15,1.0135,0.0174,1,1.750,5.250
pip,5,15,0.9865,0.0174,1,1.750,5.250
pip,6,15,0.8970,0.0169,1,1.750,5.250
pip,1,16,0.7465,0.0142,1,1.750,5.250
pip,2,16,0.1442,0.0062,1,1.750,5.250
pip,3,16,1.0671,0.0169,0,1.750,5.250
pip,4,16,1.0284,0.0164,1,1.750,5.250
pip,5,16,0.8026,0.0147,1,1.750,5.250
pip,6,16,0.9716,0.0167,1,1.750,5.250
pip,1,17,0.7196,0.0140,1,1.750,5.250
pip,2,17,0.9304,0.0161,1,1.750,5.250
pip,3,17,0.8665,0.0153,1,1.750,5.250
pip,4,17,1.0639,0.0167,1,1.750,5.250
pip,5,17,0.4121,0.0105,1,1.750,5.250
pip,6,17,0.9361,0.0164,1,1.750,5.250
pip,1,18,0.9573,0.0159,1,1.750,5.250
pip,2,18,0.9163,0.0156,1,1.750,5.250
pip,3,18,1.0139,0.0161,1,1.750,5.250
pip,4,18,0.9747,0.0156,1,1.750,5.250
pip,5,18,0.8205,0.0146,1,1.750,5.250
pip,6,18,0.9861,0.0165,1,1.750,5.250
pip,1,19,0.9864,0.0155,1,1.750,5.250
pip,2,19,0.8523,0.0145,1,1.750,5.250
pip,3,19,0.9258,0.0148,1,1.750,5.250
pip,4,19,1.0136,0.0154,1,1.750,5.250
pip,5,19,0.8065,0.0141,1,1.750,5.250
pip,6,19,0.9284,0.0153,1,1.750,5.250
pip,1,20,0.9978,0.0160,1,1.750,5.250
pip,2,20,0.9193,0.0154,1,1.750,5.250
pip,3,20,0.9177,0.0152,1,1.750,5.250
pip,4,20,1.0022,0.0156,1,1.750,5.250
pip,5,20,1.6388,0.0258,0,1.750,5.250
pip,6,20,0.8607,0.0152,1,1.750,5.250
pip,1,21,0.9911,0.0154,1,1.750,5.250
pip,2,21,0.7443,0.0134,1,1.750,5.250
pip,3,21,1.0089,0.0154,1,1.750,5.250
pip,4,21,0.9351,0.0146,1,1.750,5.250
pip,5,21,0.9020,0.0147,1,1.750,5.250
pip,6,21,0.8951,0.0150,1,1.750,5.250
pip,1,22,1.0172,0.0159,1,1.750,5.250
pip,2,22,0.8741,0.0147,1,1.750,5.250
pip,3,22,0.9656,0.0154,1,1.750,5.250
pip,4,22,0.9828,0.0154,1,1.750,5.250
pip,5,22,0.8859,0.0148,1,1.750,5.250
pip,6,22,0.8904,0.0153,1,1.750,5.250
pip,1,23,1.0540,0.0153,1,1.750,5.250
pip,2,23,0.9078,0.0140,1,1.750,5.250
pip,3,23,0.8257,0.0128,1,1.750,5.250
pip,4,23,0.9163,0.0136,1,1.750,5.250
pip,5,23,0.9103,0.0141,1,1.750,5.250
pip,6,23,0.9460,0.0148,1,1.750,5.250
pip,1,24,1.0283,0.0119,1,1.750,5.250
pip,2,24,0.7843,0.0104,1,1.750,5.250
pip,4,24,0.9701,0.0113,1,1.750,5.250
pip,5,24,0.9284,0.0113,1,1.750,5.250
pip,6,24,0.9717,0.0122,1,1.750,5.250
pip,1,25,1.0298,0.0119,1,1.750,5.250
pip,2,25,0.9010,0.0112,1,1.750,5.250
pip,3,25,0.9042,0.0106,1,1.750,5.250
pip,4,25,0.9187,0.0107,1,1.750,5.250
pip,5,25,0.8909,0.0108,1,1.750,5.250
pip,6,25,0.9702,0.0121,1,1.750,5.250
pip,1,26,1.0795,0.0123,1,1.750,5.250
pip,2,26,0.9030,0.0112,1,1.750,5.250
pip,3,26,0.9080,0.0107,1,1.750,5.250
pip,4,26,0.8985,0.0106,1,1.750,5.250
pip,5,26,0.8944,0.0109,1,1.750,5.250
pip,6,26,0.9205,0.0117,1,1.750,5.250
pip,1,27,1.0419,0.0122,1,1.750,5.250
pip,2,27,0.9436,0.0117,1,1.750,5.250
pip,3,27,0.9081,0.0109,1,1.750,5.250
pip,4,27,0.8894,0.0107,1,1.750,5.250
pip,5,27,0.9185,0.0113,1,1.750,5.250
pip,6,27,0.9581,0.0123,1,1.750,5.250
pip,1,28,1.0541,0.0126,1,1.750,5.250
pip,2,28,0.9122,0.0117,1,1.750,5.250
pip,3,28,0.9126,0.0112,1,1.750,5.250
pip,4,28,0.9200,0.0113,1,1.750,5.250
pip,5,28,0.9459,0.0119,1,1.750,5.250
pip,6,28,0.9169,0.0126,1,1.750,5.250
pip,1,29,1.0312,0.0128,1,1.750,5.250
pip,2,29,0.8907,0.0120,1,1.750,5.250
pip,3,29,0.8934,0.0115,1,1.750,5.250
pip,4,29,0.8979,0.0115,1,1.750,5.250
pip,5,29,0.9319,0.0123,1,1.750,5.250
pip,6,29,0.9688,0.0135,1,1.750,5.250
pip,1,30,1.0449,0.0137,1,1.750,5.250
pip,2,30,0.9076,0.0128,1,1.750,5.250
pip,3,30,0.8983,0.0122,1,1.750,5.250
pip,4,30,0.9191,0.0124,1,1.750,5.250
pip,5,30,0.9358,0.0131,1,1.750,5.250
pip,6,30,0.9551,0.0145,1,1.750,5.250
pip,1,31,1.0561,0.0143,1,1.750,5.250
pip,2,31,0.8829,0.0131,1,1.750,5.250
pip,3,31,0.8892,0.0127,1,1.750,5.250
pip,4,31,0.8813,0.0126,1,1.750,5.250
pip,5,31,0.9192,0.0135,1,1.750,5.250
pip,6,31,0.9439,0.0150,1,1.750,5.250
pip,1,32,1.0643,0.0156,1,1.750,5.250
pip,2,32,0.9357,0.0146,1,1.750,5.250
pip,3,32,0.9019,0.0138,1,1.750,5.250
pip,4,32,0.9084,0.0139,1,1.750,5.250
pip,5,32,1.6485,0.0263,0,1.750,5.250
pip,6,32,0.9626,0.0167,0,1.750,5.250
pip,1,33,1.0362,0.0163,1,1.750,5.250
pip,2,33,0.9052,0.0153,1,1.750,5.250
pip,3,33,0.9010,0.0148,1,1.750,5.250
pip,4,33,0.9547,0.0150,1,1.750,5.250
pip,5,33,0.9638,0.0162,1,1.750,5.250
pip,6,33,0.9652,0.0183,0,1.750,5.250
pip,1,34,1.0557,0.0177,1,1.750,5.250
pip,2,34,0.8970,0.0166,1,1.750,5.250
pip,3,34,0.9443,0.0164,1,1.750,5.250
pip,5,34,0.9059,0.0171,1,1.750,5.250
pip,6,34,0.9924,0.0206,0,1.750,5.250
pip,1,35,1.0395,0.0185,1,1.750,5.250
pip,2,35,0.8678,0.0169,1,1.750,5.250
pip,3,35,0.8978,0.0170,1,1.750,5.250
pip,4,35,0.9355,0.0173,1,1.750,5.250
pip,5,35,0.9605,0.0185,1,1.750,5.250
pip,6,35,0.9980,0.0223,0,1.750,5.250
pip,1,36,1.0662,0.0212,1,1.750,5.250
pip,2,36,0.8509,0.0189,1,1.750,5.250
pip,3,36,0.8979,0.0192,1,1.750,5.250
pip,4,36,0.9338,0.0198,1,1.750,5.250
pip,5,36,0.9009,0.0203,1,1.750,5.250
pip,1,37,1.0185,0.0243,1,1.750,5.250
pip,2,37,0.8908,0.0229,1,1.750,5.250
pip,4,37,0.9815,0.0240,1,1.750,5.250
pip,5,37,0.9448,0.0243,1,1.750,5.250
pip,1,38,0.9979,0.0281,1,1.750,5.250
pip,2,38,0.8600,0.0265,1,1.750,5.250
pip,4,38,1.0021,0.0285,1,1.750,5.250
pip,5,38,0.9967,0.0292,1,1.750,5.250
