particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
pip,6,32,0.9843,0.0199,1,1.750,5.250
pip,1,33,0.9856,0.0190,1,1.750,5.250
pip,2,33,1.0144,0.0199,1,1.750,5.250
pip,3,33,0.8757,0.0187,1,1.750,5.250
pip,4,33,0.9010,0.0190,1,1.750,5.250
pip,5,33,0.9655,0.0201,1,1.750,5.250
pip,6,33,0.9475,0.0207,1,1.750,5.250
pip,1,34,0.9954,0.0206,1,1.750,5.250
pip,2,34,0.9520,0.0211,1,1.750,5.250
pip,3,34,0.8847,0.0202,1,1.750,5.250
pip,4,34,0.8634,0.0200,0,1.750,5.250
pip,5,34,0.9643,0.0218,0,1.750,5.250
pip,6,34,1.0046,0.0231,1,1.750,5.250
pip,1,35,0.9890,0.0221,1,1.750,5.250
pip,2,35,1.0110,0.0232,1,1.750,5.250
pip,3,35,0.9396,0.0226,1,1.750,5.250
pip,4,35,0.9103,0.0224,1,1.750,5.250
pip,5,35,0.9742,0.0239,1,1.750,5.250
pip,6,35,0.9102,0.0238,1,1.750,5.250
pip,1,36,1.0049,0.0237,1,1.750,5.250
pip,2,36,0.9901,0.0246,1,1.750,5.250
pip,3,36,0.9510,0.0242,1,1.750,5.250
pip,4,36,0.9380,0.0244,1,1.750,5.250
pip,5,36,0.8478,0.0237,0,1.750,5.250
pip,6,36,0.9951,0.0266,1,1.750,5.250
pip,1,37,1.0237,0.0252,1,1.750,5.250
pip,2,37,0.9702,0.0254,1,1.750,5.250
pip,3,37,0.9763,0.0257,1,1.750,5.250
pip,4,37,0.9623,0.0258,1,1.750,5.250
pip,5,37,0.9642,0.0267,1,1.750,5.250
pip,6,37,0.9568,0.0274,1,1.750,5.250
pip,1,38,0.9958,0.0264,1,1.750,5.250
pip,2,38,0.9415,0.0265,0,1.750,5.250
pip,3,38,0.9110,0.0263,1,1.750,5.250
pip,4,38,0.9268,0.0269,1,1.750,5.250
pip,5,38,0.9317,0.0278,1,1.750,5.250
pip,6,38,1.0042,0.0296,1,1.750,5.250
pip,1,39,0.9509,0.0277,1,1.750,5.250
pip,2,39,0.9953,0.0295,1,1.750,5.250
pip,3,39,1.0047,0.0301,1,1.750,5.250
pip,4,39,0.8903,0.0287,1,1.750,5.250
pip,5,39,0.9813,0.0308,1,1.750,5.250
pip,6,39,0.9464,0.0310,1,1.750,5.250
pip,1,40,1.0631,0.0240,1,1.750,5.250
pip,2,40,0.8298,0.0223,1,1.750,5.250
pip,3,40,0.8072,0.0220,1,1.750,5.250
