W/D	Q2	xs1	e1	xs2	e2	xs3	e3	xs4	e4	xs1b	e1b	xs2b	e2b	xs3b	e3b	xs4b	e4b
2.175	2.250	563.772942	76.203949	568.463192	76.520278	559.465828	75.912300	567.014084	76.422685	707.686874	48.469802	777.670860	48.469802	701.422497	48.469802	701.422498	48.469802
2.225	2.250	582.357296	117.139391	595.537755	118.457578	576.627406	116.561691	585.693936	117.474489	656.196968	60.082503	670.890381	60.082503	656.196698	60.082503	656.197059	60.082503
2.275	2.250	501.920822	60.918618	538.670313	63.109386	495.575903	60.532348	505.598406	61.141386	531.401273	33.480327	590.020891	33.480327	531.401273	33.480327	531.401273	33.480327
2.325	2.250	444.600570	94.870278	501.727858	100.781142	436.245325	93.974616	447.048946	95.131141	552.148407	67.193131	625.214178	67.193131	552.148407	67.193131	552.148407	67.193131
2.375	2.250	353.113447	51.496505	394.665292	54.442129	347.013405	51.049766	355.532165	51.672572	352.957826	29.813149	413.243815	29.813149	352.957826	29.813149	352.957826	29.813149
2.425	2.250	324.309282	55.946314	361.425224	59.061030	324.275593	55.943408	324.352304	55.950024	377.997328	36.013558	442.031707	36.013558	377.997327	36.013558	377.997368	36.013558
2.475	2.250	334.836917	53.043685	359.344635	54.950621	321.805258	52.001227	331.371490	52.768481	356.557478	29.855098	367.294532	29.855098	356.557477	29.855098	356.557479	29.855098
2.525	2.250	218.816794	49.367502	262.502238	54.071365	217.403059	49.207766	220.140651	49.516615	278.585849	28.136003	338.136248	28.136003	277.418412	28.136003	278.583384	28.136003
2.575	2.250	216.729850	48.650459	259.096905	53.193515	214.926325	48.447613	218.036623	48.796907	326.056207	42.240795	392.547440	42.240795	325.603436	42.240795	326.056207	42.240795
2.625	2.250	197.948555	37.339910	229.391918	40.196307	193.159441	36.885449	199.972130	37.530283	213.791630	22.720033	260.441676	22.720033	213.791630	22.720033	213.791630	22.720033
2.675	2.250	138.536485	33.238727	166.570944	36.447011	134.525460	32.754015	140.532819	33.477358	171.947574	23.350707	215.799674	23.350707	171.947578	23.350707	171.947579	23.350707
2.725	2.250	68.606207	20.114681	80.654795	21.809542	62.787970	19.242862	69.932597	20.308193	35.228006	22.532643	56.279892	22.532643	35.228006	22.532643	35.228006	22.532643
2.775	2.250	71.995811	19.534591	59.183607	17.711340	63.823822	18.392557	68.764284	19.091153	82.502037	12.567733	65.820366	12.567733	82.502038	12.567733	82.501461	12.567733
1.725	2.580	509.896090	53.668186	299.863404	41.156441	883.643036	70.650380	873.073579	70.226577	853.655321	37.654653	853.655321	37.654653	853.655321	37.654653	853.655321	37.654653
1.775	2.580	1034.056804	79.636918	1144.058659	83.765733	1035.898426	79.707802	1007.556025	78.609829	963.504969	50.535348	1294.678047	50.535348	963.504923	50.535348	963.503501	50.535348
1.825	2.580	1185.098550	89.108763	1103.482841	85.985649	1227.303986	90.681616	1214.032691	90.189997	1331.901371	56.644297	1238.498037	56.644297	1331.901407	56.644297	1331.901439	56.644297
1.875	2.580	973.239200	106.382274	884.996102	101.444884	1019.321967	108.871740	1007.638779	108.246013	1079.085549	73.452453	979.073790	73.452453	1079.085547	73.452453	1079.085559	73.452453
1.925	2.580	897.288849	95.474957	896.549418	95.435610	904.438278	95.854565	889.749211	95.072988	976.146897	63.236207	974.372173	63.236207	976.146890	63.236207	976.146887	63.236207
1.975	2.580	950.094225	84.498910	953.585805	84.654033	955.196271	84.725487	950.056260	84.497221	1099.339912	50.634948	1139.798630	50.634948	1099.339911	50.634948	1099.339908	50.634948
2.025	2.580	710.717580	92.597479	625.202134	86.848207	711.100275	92.622406	710.620828	92.591176	830.315485	54.148659	698.323552	54.148659	830.315572	54.148659	830.315485	54.148659
2.075	2.580	652.518547	84.755256	570.932114	79.279782	646.994755	84.395753	652.921607	84.781429	706.004048	47.866128	557.485745	47.866128	706.004048	47.866128	706.004127	47.866128
2.125	2.580	608.532287	77.589862	579.526893	75.718145	584.423727	76.037370	588.257721	76.286376	676.950050	62.295638	677.091981	62.295638	676.950042	62.295638	676.950098	62.295638
2.175	2.580	485.010066	78.595783	483.960245	78.510675	475.522070	77.823222	479.182567	78.122183	554.868147	47.935012	539.250197	47.935012	526.032073	47.935012	526.032078	47.935012
2.225	2.580	410.795688	80.284954	430.495390	82.187445	405.441523	79.760035	413.976386	80.595169	462.609361	47.150303	510.846619	47.150303	462.609383	47.150303	462.609372	47.150303
2.275	2.580	430.283246	91.433692	429.602043	91.361286	407.468696	88.976673	412.634999	89.538964	445.937206	48.247885	481.230197	48.247885	445.937198	48.247885	445.937202	48.247885
2.325	2.580	265.482259	44.644506	286.237423	46.356803	254.352669	43.698690	256.424113	43.876270	302.874845	28.750672	319.011330	28.750672	253.897701	28.750672	253.897682	28.750672
2.375	2.580	311.182964	50.960789	332.221537	52.655305	307.162366	50.630503	313.253445	51.130044	335.670923	29.260761	373.296742	29.260761	335.670413	29.260761	335.670718	29.260761
2.425	2.580	236.445879	45.656553	251.362992	47.074738	233.897250	45.409822	237.902383	45.796959	261.668616	25.834809	275.086726	25.834809	261.668602	25.834809	261.668616	25.834809
2.475	2.580	193.177585	37.215381	218.146643	39.547440	188.050917	36.718238	194.201706	37.313898	199.288000	21.423339	233.860294	21.423339	199.288001	21.423339	199.288000	21.423339
2.525	2.580	215.698192	39.231956	244.013978	41.727663	215.045570	39.172560	216.301037	39.286741	221.224402	20.707480	258.935630	20.707480	221.224397	20.707480	221.224399	20.707480
2.575	2.580	136.651882	30.838440	149.011130	32.202823	133.729163	30.506870	138.378964	31.032704	138.120576	19.208340	162.934285	19.208340	138.120576	19.208340	138.120576	19.208340
2.625	2.580	139.010684	31.913154	148.911062	33.030041	135.752414	31.536930	141.343228	32.179785	163.108154	24.526290	184.517765	24.526290	163.108154	24.526290	163.108154	24.526290
2.675	2.580	70.202924	22.708843	77.886614	23.919320	65.586334	21.949473	72.710647	23.110876	63.141278	21.669904	77.707375	21.669904	63.141278	21.669904	63.141277	21.669904
2.725	2.580	54.459190	20.051893	50.631620	19.334400	49.920657	19.198174	54.687708	20.093919	57.908905	14.387437	44.494673	14.387437	57.908905	14.387437	57.909447	14.387437
1.725	3.030	445.364902	43.887505	326.402513	37.571596	515.536758	47.218558	508.823181	46.910099	588.307289	26.564125	588.307289	26.564125	588.307289	26.564125	588.307289	26.564125
1.775	3.030	950.035037	79.421690	996.070366	81.323174	950.621372	79.446194	932.986918	78.705863	925.532814	49.994503	1070.902793	49.994503	925.535031	49.994503	925.535178	49.994503
1.825	3.030	840.020244	73.198582	782.119338	70.630829	861.473185	74.127384	850.687478	73.661882	962.600270	47.878296	948.636363	47.878296	962.600280	47.878296	962.600299	47.878296
1.875	3.030	621.146069	74.386149	569.804736	71.245630	689.423328	78.367897	658.980501	76.618120	695.291328	51.365022	587.353662	51.365022	695.291245	51.365022	695.291340	51.365022
1.925	3.030	697.280558	66.705964	600.230682	61.889928	700.148143	66.842988	696.850457	66.685388	775.626095	45.378788	600.874422	45.378788	775.626096	45.378788	775.626096	45.378788
1.975	3.030	647.298949	70.180298	614.680754	68.389206	647.694882	70.201758	647.344234	70.182753	760.822908	42.344578	714.402655	42.344578	760.822907	42.344578	760.822906	42.344578
2.025	3.030	592.043050	72.159411	549.978172	69.548707	589.621156	72.011667	592.561945	72.191026	735.402572	44.028283	675.236113	44.028283	732.815288	44.028283	735.403011	44.028283
2.075	3.030	442.518005	84.144747	410.675978	81.060856	439.792423	83.885212	444.375442	84.321158	589.874233	55.973951	536.950868	55.973951	589.874234	55.973951	589.874234	55.973951
2.125	3.030	401.856228	61.598655	375.326808	59.530656	372.026644	59.268359	403.911543	61.755979	464.469790	41.104083	432.613752	41.104083	415.001308	41.104083	464.469791	41.104083
2.175	3.030	387.537274	57.949632	365.505644	56.278302	369.244908	56.565444	389.827849	58.120638	429.542029	38.599418	418.899316	38.599418	395.878557	38.599418	429.542029	38.599418
2.225	3.030	338.347408	64.953592	339.905716	65.102997	313.878822	62.560866	341.784323	65.282656	438.254443	40.134380	437.443569	40.134380	409.415728	40.134380	438.254443	40.134380
2.275	3.030	304.507423	52.473822	305.698732	52.576367	274.631116	49.833183	307.545904	52.734973	365.860926	31.550820	389.047333	31.550820	331.363997	31.550820	365.860929	31.550820
2.325	3.030	259.269167	45.768828	286.530164	48.114893	248.000084	44.763112	261.519609	45.967034	269.800461	28.441905	319.000577	28.441905	269.800466	28.441905	284.487892	28.441905
2.375	3.030	245.024404	46.516245	253.195323	47.285482	242.822437	46.306759	246.883488	46.692379	316.505966	28.097237	331.453154	28.097237	316.505966	28.097237	316.505966	28.097237
2.425	3.030	201.596668	38.582638	216.247852	39.960061	185.997664	37.059878	191.375913	37.591865	190.257348	23.528632	210.553321	23.528632	190.257349	23.528632	190.257350	23.528632
2.475	3.030	174.492533	32.792475	185.265635	33.789612	171.214844	32.483026	176.200061	32.952533	182.099056	19.545526	203.157864	19.545526	182.099056	19.545526	182.098891	19.545526
2.525	3.030	169.167506	32.641935	177.644528	33.449785	166.224642	32.356767	171.208959	32.838300	167.044505	19.520669	181.684605	19.520669	167.044505	19.520669	167.044505	19.520669
2.575	3.030	95.550523	27.947552	106.922887	29.563958	86.886064	26.650312	92.790300	27.540925	92.493296	21.500533	102.671676	21.500533	92.493296	21.500533	92.493293	21.500533
2.625	3.030	82.010544	45.344930	11.068866	16.658867	78.378428	44.329432	85.892142	46.405623	131.856307	40.127630	78.608075	40.127630	131.856307	40.127630	131.856307	40.127630
2.675	3.030	123.778874	93.728418	131.101987	96.461200	111.957345	89.140347	118.169708	91.580098	224.591738	55.469495	275.913687	55.469495	224.591740	55.469495	224.591743	55.469495
1.725	4.200	239.422660	24.809172	145.058030	19.310812	316.008907	28.502261	312.015169	28.321581	322.588776	14.612853	322.588776	14.612853	322.588776	14.612853	322.588776	14.612853
1.775	4.200	408.237537	42.369558	448.902672	44.429719	422.438103	43.100173	412.260437	42.577808	459.461520	28.385054	598.802767	28.385054	459.460252	28.385054	459.460325	28.385054
1.825	4.200	416.064888	54.296950	421.251022	54.634301	435.187219	55.530677	427.537107	55.040429	541.702786	42.278987	598.304076	42.278987	541.702784	42.278987	541.702793	42.278987
1.875	4.200	320.103208	50.504081	302.005704	49.055650	324.263657	50.831228	318.793957	50.400692	434.548032	39.166706	407.505264	39.166706	434.548032	39.166706	434.548031	39.166706
1.925	4.200	286.994058	43.203811	259.224318	41.060428	290.596027	43.474084	285.668527	43.103923	404.195230	40.692450	356.539255	40.692450	404.195230	40.692450	404.195229	40.692450
1.975	4.200	322.010683	59.404367	294.771288	56.836303	321.735095	59.378942	322.017713	59.405016	445.778949	40.334837	411.558540	40.334837	445.778949	40.334837	445.778949	40.334837
2.025	4.200	297.364128	60.695879	266.148647	57.421833	294.374630	60.390011	296.278556	60.584988	406.688970	35.303046	364.794820	35.303046	406.688970	35.303046	406.684401	35.303046
2.075	4.200	235.250879	40.842075	218.359623	39.348514	214.194397	38.971419	214.964606	39.041424	278.281039	32.326269	286.935973	32.326269	278.281057	32.326269	278.281051	32.326269
2.125	4.200	217.420340	31.974987	201.274024	30.764804	212.754505	31.630035	213.348401	31.674152	262.579407	34.164359	262.248174	34.164359	262.579387	34.164359	262.579410	34.164359
2.175	4.200	167.656022	26.123987	169.619728	26.276533	166.257439	26.014796	169.168944	26.241593	219.686526	21.375001	258.537683	21.375001	219.686526	21.375001	219.686526	21.375001
2.225	4.200	166.562700	36.780738	164.439901	36.545606	165.141878	36.623527	168.109187	36.951092	249.993832	35.837019	266.595933	35.837019	249.998011	35.837019	249.993832	35.837019
2.275	4.200	123.831297	35.447966	124.800721	35.586450	118.761186	34.714697	125.651115	35.707487	177.648340	21.822062	183.164258	21.822062	172.327191	21.822062	177.648340	21.822062
2.325	4.200	131.659148	29.113311	132.732357	29.231728	131.961081	29.146675	134.236526	29.396893	173.956957	18.320554	175.009913	18.320554	173.956958	18.320554	173.956955	18.320554
2.375	4.200	129.370031	43.511174	126.352965	43.000814	128.102119	43.297430	129.642958	43.557047	185.429502	28.232041	183.814273	28.232041	185.429501	28.232041	185.429503	28.232041
2.425	4.200	64.480416	24.872284	54.581429	22.883593	52.912869	22.531101	65.006066	24.973459	103.217368	19.231695	89.099373	19.231695	87.271294	19.231695	103.217368	19.231695
2.475	4.200	91.472850	60.793714	85.124387	58.646158	85.726021	58.853040	90.933867	60.614342	229.824264	45.558265	211.274878	45.558265	229.823507	45.558265	229.824236	45.558265
2.525	4.200	0.000000	0.000000	0.000000	0.000000	1.022145	4.997619	2.164952	7.273291	50.454893	16.630123	50.454893	16.630123	50.454893	16.630123	50.454893	16.630123
